Number	Scans	Proportion	Size	Visual	Raised	Visitors	Feeding	Oc	Other	Enrichment	Group	Sex	Enclosure	Vehicle	Diet	Age	Zoo	Eps
4	150	0.026666667	400	4	1	0	2	2	1	1	1	2	0	26	1	8	7	47
35	300	0.116666667	400	4	1	0	2	2	1	1	2	1	0	26	1	5	7	48
11	150	0.073333333	500	9	1	0	2	2	1	1	1	2	0	26	1	11	7	49
8	149	0.053691275	500	9	1	0	2	2	1	1	1	2	0	26	1	12	7	50
18	150	0.12	500	9	1	0	2	2	1	1	1	2	0	26	1	11	7	51
19	299	0.063545151	500	9	1	0	2	2	1	1	2	1	0	26	1	10	7	52
3	150	0.02	500	9	1	0	2	2	1	1	1	1	0	26	1	10	7	53
15	495	0.03030303	1800	8	1	0	2	2	2	1	2	2	0	26	1	1	7	54
36	150	0.24	431	2	1	0	2	2	1	1	1	1	2	32	1	4	7	55
10	150	0.066666667	336	2	1	0	2	2	1	1	1	2	0	32	1	9	7	56
3	149	0.020134228	67.5	1	1	0	2	2	1	1	1	1	0	32	1	7	7	57
1	150	0.006666667	195	2	1	0	2	2	1	1	1	1	2	32	1	8	7	58
10	150	0.066666667	270	3	1	0	2	2	1	1	1	1	0	32	1	12	7	59
12	298	0.040268456	1900	9	1	0	2	2	1	1	2	1	1	19	1	9	7	60
14	150	0.093333333	360	4	1	0	2	2	1	1	1	1	0	11	1	7	7	61
33	150	0.22	360	3	1	0	2	2	1	1	1	2	0	11	1	3	7	62
9	149	0.060402685	266	5	1	0	2	2	1	1	1	2	0	11	1	9	7	63
19	150	0.126666667	360	7	1	0	2	2	1	1	1	2	0	11	1	6	7	64
39	600	0.065	15000	4	1	718	1	2	1	2	2	1	8	51	3	3	8	65
17	300	0.056666667	25000	4	2	718	1	2	1	2	2	2	10	49	3	5	8	66
9	150	0.06	10000	3	1	718	1	2	1	1	1	1	0	27	3	15	8	67
11	300	0.036666667	25000	4	2	718	1	2	1	2	2	2	8	40	3	1	8	68
10	591	0.016920474	10000	9	1	0	2	2	2	2	2	2	0	12	3	9	8	69
2	749	0.002670227	40000	9	2	0	2	1	2	1	2	1	0	16	3	5	8	70
20	448	0.044642857	10000	4	2	0	1	2	1	1	2	1	3	18	3	1	8	71
0	150	0	25000	10	2	0	2	2	2	1	1	1	0	22	3	10	8	72
1	300	0.003333333	25000	10	2	0	2	2	2	1	2	1	0	22	3	10	8	73
13	150	0.086666667	80000	9	2	718	2	2	2	2	1	2	0	47	3	10	8	74
10	150	0.066666667	80000	9	2	718	2	2	2	2	1	2	0	60	3	7	8	75
0	300	0	80000	9	2	0	2	2	2	2	2	2	0	44	3	2	8	76
19	150	0.126666667	3000	5	2	33172	1	2	2	1	1	2	16	11	2	4	9	77
12	150	0.08	62	1	1	0	1	1	2	1	1	2	16	21	2	4	9	78
10	452	0.022123894	3000	5	2	33172	1	2	2	1	2	2	16	1	2	1	9	79
10	450	0.022222222	62	1	1	0	1	1	2	1	2	2	16	17	2	1	9	80
15	149	0.100671141	69	1	1	0	1	2	1	1	1	1	16	10	2	2	9	81
37	150	0.246666667	69	1	1	0	1	2	1	1	1	2	14	17	2	5	9	82
44	300	0.146666667	625	1	2	0	1	2	2	1	2	1	0	34	2	8	9	83
21	150	0.14	625	1	1	0	1	2	2	1	1	2	6	33	2	5	9	84
14	150	0.093333333	10000	2	1	0	1	2	2	1	1	1	2	29	2	9	9	85
55	149	0.369127517	600	2	2	0	1	2	2	1	1	1	2	34	2	9	9	86
28	150	0.186666667	450	1	1	0	1	2	1	1	1	2	2	35	2	2	9	87
17	150	0.113333333	18.6	1	1	0	1	2	1	1	1	2	0	35	2	8	9	88
