"Year","Route","statenum","richness","abundance","Active","Latitude","Longitude","RouteTypeID"
1967,30,25,45,941,1,27.9626301,-80.9673345,1
1967,31,25,38,597,1,26.9657323,-80.3854635,1
1967,32,25,50,840,0,26.7792597,-81.9372109,1
1967,33,25,38,1117,0,26.0628347,-80.4312659,1
1967,36,25,39,777,0,25.0015697,-80.5364609,1
1967,38,25,58,718,0,30.0999027,-81.8070759,1
1968,2,25,40,418,1,30.3755433,-86.2758321,1
1968,3,25,38,266,1,30.5193157,-86.4809129,1
1968,4,25,45,607,1,30.5288404,-85.1334541,1
1968,5,25,44,499,1,30.3372497,-85.2869789,1
1968,6,25,60,746,1,30.5950194,-84.0413094,1
1968,7,25,55,442,0,30.3898527,-85.9004499,1
1968,8,25,53,475,0,30.3358457,-84.9914239,1
1968,9,25,44,414,0,29.7818335,-85.3003555,1
1968,10,25,53,630,1,30.2734632,-83.8569684,1
1968,11,25,50,423,1,29.6686989,-83.3782062,1
1968,12,25,36,584,1,30.5026237,-82.7337409,1
1968,13,25,50,490,0,29.5468457,-82.2630299,1
1968,14,25,48,529,1,29.1916199,-82.394802,1
1968,17,25,49,701,0,27.4438745,-82.1186659,1
1968,18,25,57,747,1,29.8899427,-81.3438119,1
1968,19,25,51,603,1,30.7202649,-81.9062085,1
1968,20,25,46,1261,1,28.3266818,-82.3022052,1
1968,21,25,51,733,1,29.8970697,-81.8343049,1
1968,23,25,48,1516,0,28.5723877,-81.9816829,1
1968,24,25,43,776,1,27.3232866,-81.4189503,1
1968,25,25,50,513,1,28.7481187,-80.8712309,1
1968,26,25,45,1246,1,26.2943143,-81.448561,1
1968,30,25,54,1021,1,27.9626301,-80.9673345,1
1968,31,25,45,1050,1,26.9657323,-80.3854635,1
1968,32,25,47,831,0,26.7792597,-81.9372109,1
1968,33,25,46,1881,0,26.0628347,-80.4312659,1
1968,35,25,37,918,0,25.6579667,-80.7663639,1
1968,36,25,30,604,0,25.0015697,-80.5364609,1
1968,38,25,60,826,0,30.0999027,-81.8070759,1
1968,39,25,50,995,0,26.3678027,-80.2032849,1
1969,1,25,52,541,1,30.9291812,-87.4079434,1
1969,2,25,35,465,1,30.3755433,-86.2758321,1
1969,3,25,39,320,1,30.5193157,-86.4809129,1
1969,4,25,54,564,1,30.5288404,-85.1334541,1
1969,5,25,53,590,1,30.3372497,-85.2869789,1
1969,6,25,62,846,1,30.5950194,-84.0413094,1
1969,7,25,54,475,0,30.3898527,-85.9004499,1
1969,8,25,48,348,0,30.3358457,-84.9914239,1
1969,9,25,49,567,0,29.7818335,-85.3003555,1
1969,10,25,63,514,1,30.2734632,-83.8569684,1
1969,11,25,45,424,1,29.6686989,-83.3782062,1
1969,12,25,47,735,1,30.5026237,-82.7337409,1
1969,13,25,55,460,0,29.5468457,-82.2630299,1
1969,14,25,41,504,1,29.1916199,-82.394802,1
1969,15,25,46,500,1,29.9877641,-84.9762879,1
1969,16,25,49,987,0,28.0363157,-82.5050049,1
1969,17,25,39,798,0,27.4438745,-82.1186659,1
1969,18,25,52,612,1,29.8899427,-81.3438119,1
1969,19,25,44,611,1,30.7202649,-81.9062085,1
1969,20,25,58,1430,1,28.3266818,-82.3022052,1
1969,21,25,43,518,1,29.8970697,-81.8343049,1
1969,23,25,47,1077,0,28.5723877,-81.9816829,1
1969,24,25,49,782,1,27.3232866,-81.4189503,1
1969,25,25,58,970,1,28.7481187,-80.8712309,1
1969,26,25,46,1061,1,26.2943143,-81.448561,1
1969,30,25,49,1168,1,27.9626301,-80.9673345,1
1969,31,25,49,917,1,26.9657323,-80.3854635,1
1969,32,25,56,852,0,26.7792597,-81.9372109,1
1969,33,25,40,1037,0,26.0628347,-80.4312659,1
1969,35,25,37,771,0,25.6579667,-80.7663639,1
1969,36,25,39,792,0,25.0015697,-80.5364609,1
1969,38,25,60,716,0,30.0999027,-81.8070759,1
1969,39,25,36,898,0,26.3678027,-80.2032849,1
1970,1,25,45,432,1,30.9291812,-87.4079434,1
1970,2,25,39,654,1,30.3755433,-86.2758321,1
1970,3,25,38,296,1,30.5193157,-86.4809129,1
1970,4,25,54,597,1,30.5288404,-85.1334541,1
1970,5,25,51,456,1,30.3372497,-85.2869789,1
1970,6,25,65,892,1,30.5950194,-84.0413094,1
1970,7,25,57,636,0,30.3898527,-85.9004499,1
1970,8,25,48,435,0,30.3358457,-84.9914239,1
1970,9,25,39,358,0,29.7818335,-85.3003555,1
1970,10,25,58,756,1,30.2734632,-83.8569684,1
1970,11,25,45,481,1,29.6686989,-83.3782062,1
1970,12,25,49,869,1,30.5026237,-82.7337409,1
1970,13,25,54,575,0,29.5468457,-82.2630299,1
1970,14,25,52,635,1,29.1916199,-82.394802,1
1970,15,25,50,676,1,29.9877641,-84.9762879,1
1970,16,25,45,968,0,28.0363157,-82.5050049,1
1970,17,25,36,511,0,27.4438745,-82.1186659,1
1970,18,25,57,864,1,29.8899427,-81.3438119,1
1970,19,25,42,538,1,30.7202649,-81.9062085,1
1970,20,25,58,1156,1,28.3266818,-82.3022052,1
1970,21,25,53,544,1,29.8970697,-81.8343049,1
1970,22,25,58,951,1,28.1788407,-81.8605659,1
1970,23,25,49,1385,0,28.5723877,-81.9816829,1
1970,24,25,45,780,1,27.3232866,-81.4189503,1
1970,25,25,54,968,1,28.7481187,-80.8712309,1
1970,26,25,38,833,1,26.2943143,-81.448561,1
1970,27,25,67,1063,1,27.6610372,-82.1462286,1
1970,28,25,45,734,1,25.7510497,-80.9676799,1
1970,30,25,52,1268,1,27.9626301,-80.9673345,1
1970,31,25,45,1108,1,26.9657323,-80.3854635,1
1970,32,25,49,742,0,26.7792597,-81.9372109,1
1970,33,25,41,1254,0,26.0628347,-80.4312659,1
1970,35,25,39,799,0,25.6579667,-80.7663639,1
1970,36,25,40,722,0,25.0015697,-80.5364609,1
1970,37,25,50,499,1,30.2531989,-82.1623546,1
1970,38,25,53,632,0,30.0999027,-81.8070759,1
1970,39,25,37,1021,0,26.3678027,-80.2032849,1
1971,1,25,52,711,1,30.9291812,-87.4079434,1
1971,2,25,42,623,1,30.3755433,-86.2758321,1
1971,3,25,43,355,1,30.5193157,-86.4809129,1
1971,4,25,51,456,1,30.5288404,-85.1334541,1
1971,5,25,60,684,1,30.3372497,-85.2869789,1
1971,6,25,57,783,1,30.5950194,-84.0413094,1
1971,7,25,62,471,0,30.3898527,-85.9004499,1
1971,8,25,48,397,0,30.3358457,-84.9914239,1
1971,9,25,49,544,0,29.7818335,-85.3003555,1
1971,10,25,59,847,1,30.2734632,-83.8569684,1
1971,11,25,50,579,1,29.6686989,-83.3782062,1
1971,12,25,47,769,1,30.5026237,-82.7337409,1
1971,13,25,53,663,0,29.5468457,-82.2630299,1
1971,14,25,57,633,1,29.1916199,-82.394802,1
1971,15,25,50,494,1,29.9877641,-84.9762879,1
1971,16,25,36,594,0,28.0363157,-82.5050049,1
1971,17,25,50,803,0,27.4438745,-82.1186659,1
1971,18,25,55,669,1,29.8899427,-81.3438119,1
1971,19,25,42,640,1,30.7202649,-81.9062085,1
1971,20,25,52,1362,1,28.3266818,-82.3022052,1
1971,21,25,51,500,1,29.8970697,-81.8343049,1
1971,22,25,49,1244,1,28.1788407,-81.8605659,1
1971,23,25,47,1708,0,28.5723877,-81.9816829,1
1971,24,25,43,781,1,27.3232866,-81.4189503,1
1971,25,25,55,456,1,28.7481187,-80.8712309,1
1971,26,25,35,728,1,26.2943143,-81.448561,1
1971,27,25,46,824,1,27.6610372,-82.1462286,1
1971,28,25,43,672,1,25.7510497,-80.9676799,1
1971,29,25,36,636,0,27.9009147,-81.7191149,1
1971,30,25,49,1003,1,27.9626301,-80.9673345,1
1971,31,25,49,1193,1,26.9657323,-80.3854635,1
1971,32,25,51,728,0,26.7792597,-81.9372109,1
1971,33,25,44,1257,0,26.0628347,-80.4312659,1
1971,35,25,49,911,0,25.6579667,-80.7663639,1
1971,36,25,38,986,0,25.0015697,-80.5364609,1
1971,37,25,53,440,1,30.2531989,-82.1623546,1
1971,38,25,61,765,0,30.0999027,-81.8070759,1
1971,39,25,39,1015,0,26.3678027,-80.2032849,1
1972,1,25,52,685,1,30.9291812,-87.4079434,1
1972,2,25,37,476,1,30.3755433,-86.2758321,1
1972,3,25,48,301,1,30.5193157,-86.4809129,1
1972,4,25,56,485,1,30.5288404,-85.1334541,1
1972,5,25,56,615,1,30.3372497,-85.2869789,1
1972,6,25,58,751,1,30.5950194,-84.0413094,1
1972,7,25,60,572,0,30.3898527,-85.9004499,1
1972,8,25,40,303,0,30.3358457,-84.9914239,1
1972,9,25,49,436,0,29.7818335,-85.3003555,1
1972,10,25,57,818,1,30.2734632,-83.8569684,1
1972,11,25,43,384,1,29.6686989,-83.3782062,1
1972,12,25,51,783,1,30.5026237,-82.7337409,1
1972,13,25,49,494,0,29.5468457,-82.2630299,1
1972,14,25,47,614,1,29.1916199,-82.394802,1
1972,15,25,51,488,1,29.9877641,-84.9762879,1
1972,16,25,43,797,0,28.0363157,-82.5050049,1
1972,17,25,52,918,0,27.4438745,-82.1186659,1
1972,18,25,52,524,1,29.8899427,-81.3438119,1
1972,19,25,40,528,1,30.7202649,-81.9062085,1
1972,20,25,55,1439,1,28.3266818,-82.3022052,1
1972,21,25,53,581,1,29.8970697,-81.8343049,1
1972,22,25,52,1076,1,28.1788407,-81.8605659,1
1972,23,25,50,1626,0,28.5723877,-81.9816829,1
1972,24,25,45,711,1,27.3232866,-81.4189503,1
1972,25,25,57,786,1,28.7481187,-80.8712309,1
1972,26,25,33,716,1,26.2943143,-81.448561,1
1972,27,25,49,955,1,27.6610372,-82.1462286,1
1972,28,25,44,706,1,25.7510497,-80.9676799,1
1972,29,25,46,735,0,27.9009147,-81.7191149,1
1972,30,25,49,1411,1,27.9626301,-80.9673345,1
1972,31,25,51,1129,1,26.9657323,-80.3854635,1
1972,32,25,52,737,0,26.7792597,-81.9372109,1
1972,33,25,44,1146,0,26.0628347,-80.4312659,1
1972,36,25,40,942,0,25.0015697,-80.5364609,1
1972,37,25,51,415,1,30.2531989,-82.1623546,1
1972,38,25,58,645,0,30.0999027,-81.8070759,1
1972,39,25,34,757,0,26.3678027,-80.2032849,1
1973,1,25,51,449,1,30.9291812,-87.4079434,1
1973,2,25,35,719,1,30.3755433,-86.2758321,1
1973,3,25,44,334,1,30.5193157,-86.4809129,1
1973,4,25,53,467,1,30.5288404,-85.1334541,1
1973,5,25,55,593,1,30.3372497,-85.2869789,1
1973,6,25,57,599,1,30.5950194,-84.0413094,1
1973,7,25,61,552,0,30.3898527,-85.9004499,1
1973,8,25,43,349,0,30.3358457,-84.9914239,1
1973,9,25,49,511,0,29.7818335,-85.3003555,1
1973,10,25,59,657,1,30.2734632,-83.8569684,1
1973,11,25,53,400,1,29.6686989,-83.3782062,1
1973,12,25,57,464,1,30.5026237,-82.7337409,1
1973,13,25,53,852,0,29.5468457,-82.2630299,1
1973,14,25,54,841,1,29.1916199,-82.394802,1
1973,15,25,47,520,1,29.9877641,-84.9762879,1
1973,16,25,48,814,0,28.0363157,-82.5050049,1
1973,17,25,50,928,0,27.4438745,-82.1186659,1
1973,18,25,60,512,1,29.8899427,-81.3438119,1
1973,19,25,42,558,1,30.7202649,-81.9062085,1
1973,20,25,46,1198,1,28.3266818,-82.3022052,1
1973,21,25,56,536,1,29.8970697,-81.8343049,1
1973,22,25,50,1158,1,28.1788407,-81.8605659,1
1973,23,25,40,1503,0,28.5723877,-81.9816829,1
1973,24,25,46,801,1,27.3232866,-81.4189503,1
1973,25,25,62,631,1,28.7481187,-80.8712309,1
1973,26,25,32,792,1,26.2943143,-81.448561,1
1973,27,25,53,1252,1,27.6610372,-82.1462286,1
1973,28,25,46,672,1,25.7510497,-80.9676799,1
1973,29,25,40,653,0,27.9009147,-81.7191149,1
1973,30,25,52,1067,1,27.9626301,-80.9673345,1
1973,31,25,45,1076,1,26.9657323,-80.3854635,1
1973,32,25,47,676,0,26.7792597,-81.9372109,1
1973,33,25,38,1123,0,26.0628347,-80.4312659,1
1973,36,25,34,806,0,25.0015697,-80.5364609,1
1973,37,25,44,409,1,30.2531989,-82.1623546,1
1973,39,25,37,867,0,26.3678027,-80.2032849,1
1974,1,25,52,542,1,30.9291812,-87.4079434,1
1974,2,25,38,725,1,30.3755433,-86.2758321,1
1974,3,25,48,325,1,30.5193157,-86.4809129,1
1974,4,25,48,409,1,30.5288404,-85.1334541,1
1974,5,25,60,703,1,30.3372497,-85.2869789,1
1974,6,25,68,802,1,30.5950194,-84.0413094,1
1974,7,25,54,494,0,30.3898527,-85.9004499,1
1974,9,25,52,505,0,29.7818335,-85.3003555,1
1974,10,25,60,924,1,30.2734632,-83.8569684,1
1974,11,25,52,453,1,29.6686989,-83.3782062,1
1974,12,25,51,642,1,30.5026237,-82.7337409,1
1974,13,25,55,814,0,29.5468457,-82.2630299,1
1974,14,25,54,776,1,29.1916199,-82.394802,1
1974,15,25,44,471,1,29.9877641,-84.9762879,1
1974,18,25,51,606,1,29.8899427,-81.3438119,1
1974,19,25,43,524,1,30.7202649,-81.9062085,1
1974,20,25,47,1225,1,28.3266818,-82.3022052,1
1974,21,25,51,523,1,29.8970697,-81.8343049,1
1974,22,25,53,1631,1,28.1788407,-81.8605659,1
1974,23,25,41,1273,0,28.5723877,-81.9816829,1
1974,26,25,34,762,1,26.2943143,-81.448561,1
1974,28,25,49,689,1,25.7510497,-80.9676799,1
1974,29,25,42,634,0,27.9009147,-81.7191149,1
1974,30,25,47,1142,1,27.9626301,-80.9673345,1
1974,35,25,39,636,0,25.6579667,-80.7663639,1
1974,36,25,35,815,0,25.0015697,-80.5364609,1
1974,37,25,43,396,1,30.2531989,-82.1623546,1
1974,38,25,58,680,0,30.0999027,-81.8070759,1
1974,39,25,39,845,0,26.3678027,-80.2032849,1
1974,40,25,33,1465,0,26.0594807,-80.4340449,1
1975,1,25,51,557,1,30.9291812,-87.4079434,1
1975,2,25,48,811,1,30.3755433,-86.2758321,1
1975,3,25,41,380,1,30.5193157,-86.4809129,1
1975,4,25,52,439,1,30.5288404,-85.1334541,1
1975,5,25,59,605,1,30.3372497,-85.2869789,1
1975,6,25,55,725,1,30.5950194,-84.0413094,1
1975,7,25,56,585,0,30.3898527,-85.9004499,1
1975,8,25,48,604,0,30.3358457,-84.9914239,1
1975,9,25,45,593,0,29.7818335,-85.3003555,1
1975,10,25,60,764,1,30.2734632,-83.8569684,1
1975,11,25,63,537,1,29.6686989,-83.3782062,1
1975,12,25,57,738,1,30.5026237,-82.7337409,1
1975,13,25,54,671,0,29.5468457,-82.2630299,1
1975,14,25,52,629,1,29.1916199,-82.394802,1
1975,15,25,54,526,1,29.9877641,-84.9762879,1
1975,16,25,39,829,0,28.0363157,-82.5050049,1
1975,18,25,44,401,1,29.8899427,-81.3438119,1
1975,19,25,41,583,1,30.7202649,-81.9062085,1
1975,20,25,50,1128,1,28.3266818,-82.3022052,1
1975,21,25,49,430,1,29.8970697,-81.8343049,1
1975,22,25,53,1071,1,28.1788407,-81.8605659,1
1975,23,25,45,1250,0,28.5723877,-81.9816829,1
1975,26,25,36,882,1,26.2943143,-81.448561,1
1975,27,25,42,659,1,27.6610372,-82.1462286,1
1975,29,25,44,568,0,27.9009147,-81.7191149,1
1975,30,25,49,813,1,27.9626301,-80.9673345,1
1975,31,25,48,1046,1,26.9657323,-80.3854635,1
1975,36,25,34,669,0,25.0015697,-80.5364609,1
1975,37,25,50,332,1,30.2531989,-82.1623546,1
1975,38,25,52,581,0,30.0999027,-81.8070759,1
1975,39,25,36,839,0,26.3678027,-80.2032849,1
1975,40,25,40,1972,0,26.0594807,-80.4340449,1
1976,1,25,57,526,1,30.9291812,-87.4079434,1
1976,2,25,39,825,1,30.3755433,-86.2758321,1
1976,3,25,44,434,1,30.5193157,-86.4809129,1
1976,4,25,49,412,1,30.5288404,-85.1334541,1
1976,5,25,55,581,1,30.3372497,-85.2869789,1
1976,6,25,58,719,1,30.5950194,-84.0413094,1
1976,7,25,58,577,0,30.3898527,-85.9004499,1
1976,9,25,49,460,0,29.7818335,-85.3003555,1
1976,10,25,60,942,1,30.2734632,-83.8569684,1
1976,11,25,52,630,1,29.6686989,-83.3782062,1
1976,13,25,50,769,0,29.5468457,-82.2630299,1
1976,14,25,55,706,1,29.1916199,-82.394802,1
1976,15,25,56,481,1,29.9877641,-84.9762879,1
1976,16,25,45,847,0,28.0363157,-82.5050049,1
1976,17,25,47,846,0,27.4438745,-82.1186659,1
1976,18,25,50,412,1,29.8899427,-81.3438119,1
1976,19,25,48,361,1,30.7202649,-81.9062085,1
1976,20,25,52,1215,1,28.3266818,-82.3022052,1
1976,21,25,50,450,1,29.8970697,-81.8343049,1
1976,22,25,53,1173,1,28.1788407,-81.8605659,1
1976,23,25,41,1127,0,28.5723877,-81.9816829,1
1976,24,25,41,589,1,27.3232866,-81.4189503,1
1976,26,25,36,1067,1,26.2943143,-81.448561,1
1976,27,25,41,679,1,27.6610372,-82.1462286,1
1976,30,25,47,770,1,27.9626301,-80.9673345,1
1976,31,25,44,818,1,26.9657323,-80.3854635,1
1976,32,25,40,684,0,26.7792597,-81.9372109,1
1976,36,25,34,740,0,25.0015697,-80.5364609,1
1976,37,25,52,448,1,30.2531989,-82.1623546,1
1976,38,25,55,527,0,30.0999027,-81.8070759,1
1976,39,25,36,799,0,26.3678027,-80.2032849,1
1976,40,25,42,2076,0,26.0594807,-80.4340449,1
1977,1,25,52,462,1,30.9291812,-87.4079434,1
1977,2,25,42,796,1,30.3755433,-86.2758321,1
1977,3,25,45,426,1,30.5193157,-86.4809129,1
1977,4,25,48,424,1,30.5288404,-85.1334541,1
1977,5,25,63,702,1,30.3372497,-85.2869789,1
1977,6,25,57,636,1,30.5950194,-84.0413094,1
1977,7,25,58,513,0,30.3898527,-85.9004499,1
1977,9,25,54,556,0,29.7818335,-85.3003555,1
1977,10,25,62,863,1,30.2734632,-83.8569684,1
1977,12,25,54,936,1,30.5026237,-82.7337409,1
1977,13,25,61,826,0,29.5468457,-82.2630299,1
1977,15,25,46,400,1,29.9877641,-84.9762879,1
1977,16,25,38,947,0,28.0363157,-82.5050049,1
1977,17,25,55,1057,0,27.4438745,-82.1186659,1
1977,18,25,53,404,1,29.8899427,-81.3438119,1
1977,19,25,44,268,1,30.7202649,-81.9062085,1
1977,20,25,50,941,1,28.3266818,-82.3022052,1
1977,21,25,46,547,1,29.8970697,-81.8343049,1
1977,22,25,54,1377,1,28.1788407,-81.8605659,1
1977,23,25,44,1135,0,28.5723877,-81.9816829,1
1977,24,25,46,906,1,27.3232866,-81.4189503,1
1977,25,25,68,1209,1,28.7481187,-80.8712309,1
1977,26,25,39,698,1,26.2943143,-81.448561,1
1977,27,25,45,755,1,27.6610372,-82.1462286,1
1977,30,25,49,941,1,27.9626301,-80.9673345,1
1977,31,25,44,941,1,26.9657323,-80.3854635,1
1977,32,25,41,628,0,26.7792597,-81.9372109,1
1977,36,25,32,587,0,25.0015697,-80.5364609,1
1977,37,25,49,474,1,30.2531989,-82.1623546,1
1977,38,25,58,603,0,30.0999027,-81.8070759,1
1977,39,25,36,961,0,26.3678027,-80.2032849,1
1977,40,25,35,1174,0,26.0594807,-80.4340449,1
1978,1,25,50,396,1,30.9291812,-87.4079434,1
1978,2,25,36,949,1,30.3755433,-86.2758321,1
1978,3,25,54,519,1,30.5193157,-86.4809129,1
1978,4,25,45,431,1,30.5288404,-85.1334541,1
1978,5,25,57,620,1,30.3372497,-85.2869789,1
1978,6,25,55,676,1,30.5950194,-84.0413094,1
1978,7,25,58,524,0,30.3898527,-85.9004499,1
1978,9,25,40,328,0,29.7818335,-85.3003555,1
1978,10,25,59,791,1,30.2734632,-83.8569684,1
1978,13,25,57,1043,0,29.5468457,-82.2630299,1
1978,15,25,52,527,1,29.9877641,-84.9762879,1
1978,16,25,41,864,0,28.0363157,-82.5050049,1
1978,17,25,45,770,0,27.4438745,-82.1186659,1
1978,18,25,53,412,1,29.8899427,-81.3438119,1
1978,19,25,52,349,1,30.7202649,-81.9062085,1
1978,20,25,53,1149,1,28.3266818,-82.3022052,1
1978,21,25,52,466,1,29.8970697,-81.8343049,1
1978,22,25,51,1462,1,28.1788407,-81.8605659,1
1978,23,25,45,1199,0,28.5723877,-81.9816829,1
1978,24,25,45,765,1,27.3232866,-81.4189503,1
1978,26,25,39,767,1,26.2943143,-81.448561,1
1978,27,25,46,732,1,27.6610372,-82.1462286,1
1978,30,25,43,949,1,27.9626301,-80.9673345,1
1978,31,25,47,935,1,26.9657323,-80.3854635,1
1978,32,25,43,574,0,26.7792597,-81.9372109,1
1978,36,25,30,650,0,25.0015697,-80.5364609,1
1978,37,25,47,374,1,30.2531989,-82.1623546,1
1978,38,25,54,591,0,30.0999027,-81.8070759,1
1978,39,25,34,614,0,26.3678027,-80.2032849,1
1978,40,25,35,1412,0,26.0594807,-80.4340449,1
1979,1,25,50,450,1,30.9291812,-87.4079434,1
1979,2,25,38,677,1,30.3755433,-86.2758321,1
1979,3,25,44,411,1,30.5193157,-86.4809129,1
1979,4,25,50,390,1,30.5288404,-85.1334541,1
1979,5,25,54,588,1,30.3372497,-85.2869789,1
1979,6,25,60,804,1,30.5950194,-84.0413094,1
1979,7,25,55,476,0,30.3898527,-85.9004499,1
1979,8,25,49,541,0,30.3358457,-84.9914239,1
1979,10,25,61,864,1,30.2734632,-83.8569684,1
1979,11,25,52,500,1,29.6686989,-83.3782062,1
1979,14,25,53,649,1,29.1916199,-82.394802,1
1979,15,25,55,476,1,29.9877641,-84.9762879,1
1979,16,25,40,886,0,28.0363157,-82.5050049,1
1979,17,25,47,895,0,27.4438745,-82.1186659,1
1979,18,25,50,607,1,29.8899427,-81.3438119,1
1979,19,25,48,300,1,30.7202649,-81.9062085,1
1979,20,25,57,938,1,28.3266818,-82.3022052,1
1979,21,25,51,439,1,29.8970697,-81.8343049,1
1979,22,25,56,1248,1,28.1788407,-81.8605659,1
1979,23,25,46,977,0,28.5723877,-81.9816829,1
1979,24,25,44,842,1,27.3232866,-81.4189503,1
1979,26,25,35,681,1,26.2943143,-81.448561,1
1979,27,25,45,711,1,27.6610372,-82.1462286,1
1979,30,25,50,912,1,27.9626301,-80.9673345,1
1979,31,25,53,1227,1,26.9657323,-80.3854635,1
1979,32,25,40,538,0,26.7792597,-81.9372109,1
1979,36,25,34,654,0,25.0015697,-80.5364609,1
1979,37,25,47,376,1,30.2531989,-82.1623546,1
1979,38,25,51,570,0,30.0999027,-81.8070759,1
1979,39,25,36,796,0,26.3678027,-80.2032849,1
1979,40,25,37,1347,0,26.0594807,-80.4340449,1
1980,1,25,47,451,1,30.9291812,-87.4079434,1
1980,2,25,42,409,1,30.3755433,-86.2758321,1
1980,3,25,53,483,1,30.5193157,-86.4809129,1
1980,4,25,46,449,1,30.5288404,-85.1334541,1
1980,5,25,54,535,1,30.3372497,-85.2869789,1
1980,6,25,57,740,1,30.5950194,-84.0413094,1
1980,7,25,58,498,0,30.3898527,-85.9004499,1
1980,8,25,50,489,0,30.3358457,-84.9914239,1
1980,9,25,50,474,0,29.7818335,-85.3003555,1
1980,10,25,60,708,1,30.2734632,-83.8569684,1
1980,11,25,52,553,1,29.6686989,-83.3782062,1
1980,12,25,48,706,1,30.5026237,-82.7337409,1
1980,14,25,50,901,1,29.1916199,-82.394802,1
1980,15,25,50,463,1,29.9877641,-84.9762879,1
1980,16,25,47,685,0,28.0363157,-82.5050049,1
1980,18,25,54,496,1,29.8899427,-81.3438119,1
1980,19,25,48,348,1,30.7202649,-81.9062085,1
1980,20,25,54,997,1,28.3266818,-82.3022052,1
1980,21,25,54,495,1,29.8970697,-81.8343049,1
1980,22,25,58,1261,1,28.1788407,-81.8605659,1
1980,23,25,46,1170,0,28.5723877,-81.9816829,1
1980,24,25,44,819,1,27.3232866,-81.4189503,1
1980,26,25,36,624,1,26.2943143,-81.448561,1
1980,27,25,48,698,1,27.6610372,-82.1462286,1
1980,30,25,51,803,1,27.9626301,-80.9673345,1
1980,31,25,54,1241,1,26.9657323,-80.3854635,1
1980,36,25,32,620,0,25.0015697,-80.5364609,1
1980,37,25,49,383,1,30.2531989,-82.1623546,1
1980,38,25,52,562,0,30.0999027,-81.8070759,1
1980,39,25,34,809,0,26.3678027,-80.2032849,1
1980,40,25,32,1173,0,26.0594807,-80.4340449,1
1980,132,25,46,509,1,26.9297114,-82.0333415,1
1981,1,25,44,363,1,30.9291812,-87.4079434,1
1981,4,25,45,366,1,30.5288404,-85.1334541,1
1981,5,25,47,447,1,30.3372497,-85.2869789,1
1981,6,25,57,687,1,30.5950194,-84.0413094,1
1981,8,25,58,467,0,30.3358457,-84.9914239,1
1981,9,25,48,410,0,29.7818335,-85.3003555,1
1981,10,25,56,699,1,30.2734632,-83.8569684,1
1981,11,25,52,500,1,29.6686989,-83.3782062,1
1981,12,25,51,712,1,30.5026237,-82.7337409,1
1981,14,25,53,937,1,29.1916199,-82.394802,1
1981,15,25,47,455,1,29.9877641,-84.9762879,1
1981,16,25,38,852,0,28.0363157,-82.5050049,1
1981,18,25,52,575,1,29.8899427,-81.3438119,1
