time x y inclination elevation soil fertilisation age canopy stand humus bu reg bu2 bu3 bu4 bu5 alkali alkali1 alkali3 alkali4 standcat ph humus0 humus2 humus3 humus4 moisture1 moisture3
18 1.5 5 2 320 10 1 59 1 2 2 0 5 0 0 0 0 3 0 1 0 -1 4.37 0 1 0 0 1 0
19 1.5 5 2 320 10 1 60 1 2 2 0 5 0 0 0 0 3 0 1 0 -1 4.28 0 1 0 0 1 0
20 1.5 5 2 320 10 1 61 1 2 1 0 5 0 0 0 0 3 0 1 0 -1 4.19 -1 -1 -1 -1 1 0
21 1.5 5 2 320 10 1 62 1 2 2 0 5 0 0 0 0 3 0 1 0 -1 4.14 0 1 0 0 1 0
22 1.5 5 2 320 10 1 63 1 2 4 0 5 0 0 0 0 3 0 1 0 -1 4.09 0 0 0 1 1 0
23 1.5 5 2 320 10 1 64 1 2 5 0 5 0 0 0 0 3 0 1 0 -1 4.035 0 0 0 1 1 0
2 .7 2.9 21 340 14 -1 116 .9 1 2 0 1 0 0 0 0 2 -1 -1 -1 1 3.98 0 1 0 0 0 1
3 .7 2.9 21 340 14 -1 117 .9 1 3 0 1 0 0 0 0 2 -1 -1 -1 1 4.15 0 0 1 0 0 1
4 .7 2.9 21 340 14 -1 118 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.14 1 0 0 0 0 1
5 .7 2.9 21 340 14 -1 119 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.19 1 0 0 0 0 1
6 .7 2.9 21 340 14 -1 120 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.05 1 0 0 0 0 1
7 .7 2.9 21 340 14 -1 121 .9 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.02 1 0 0 0 0 1
8 .7 2.9 21 340 14 -1 122 .9 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 3.94 1 0 0 0 0 1
9 .7 2.9 21 340 14 -1 123 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.19 1 0 0 0 0 1
10 .7 2.9 21 340 14 -1 124 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.44 1 0 0 0 0 1
11 .7 2.9 21 340 14 -1 125 .9 1 1 0 1 0 0 0 0 2 -1 -1 -1 1 4.36 -1 -1 -1 -1 0 1
12 .7 2.9 21 340 14 -1 126 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.43 1 0 0 0 0 1
13 .7 2.9 21 340 14 -1 127 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.475 1 0 0 0 0 1
14 .7 2.9 21 340 14 -1 128 .9 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.52 1 0 0 0 0 1
15 .7 2.9 21 340 14 -1 129 .9 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.25 1 0 0 0 0 1
16 .7 2.9 21 340 14 -1 130 .9 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 3.98 1 0 0 0 0 1
17 .7 2.9 21 340 14 -1 131 .8 1 1 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.145 -1 -1 -1 -1 0 1
18 .7 2.9 21 340 14 -1 132 .8 1 1 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.31 -1 -1 -1 -1 0 1
19 .7 2.9 21 340 14 -1 133 .8 1 0 0 1 0 0 0 0 2 -1 -1 -1 1 4.305 1 0 0 0 0 1
20 .7 2.9 21 340 14 -1 134 .8 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.3 1 0 0 0 0 1
21 .7 2.9 21 340 14 -1 135 .8 1 1 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.285 -1 -1 -1 -1 0 1
22 .7 2.9 21 340 14 -1 136 .8 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.27 1 0 0 0 0 1
23 .7 2.9 21 340 14 -1 137 .9 1 0 12.5 1 1 1 1 1 2 -1 -1 -1 1 4.455 1 0 0 0 0 1
2 2.2 4.4 2 390 33 1 17 .8 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.64 -1 -1 -1 -1 -1 -1
3 2.2 4.4 2 390 33 1 18 .8 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.51 0 1 0 0 -1 -1
4 2.2 4.4 2 390 33 1 19 .8 2 3 0 11 0 0 0 0 2 -1 -1 -1 -1 4.32 0 0 1 0 -1 -1
5 2.2 4.4 2 390 33 1 20 .8 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.16 -1 -1 -1 -1 -1 -1
6 2.2 4.4 2 390 33 1 21 .8 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.38 0 1 0 0 -1 -1
7 2.2 4.4 2 390 33 1 22 .8 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.02 0 1 0 0 -1 -1
8 2.2 4.4 2 390 33 1 23 .8 2 0 0 11 0 0 0 0 2 -1 -1 -1 -1 4.05 1 0 0 0 -1 -1
9 2.2 4.4 2 390 33 1 24 .9 2 0 0 11 0 0 0 0 2 -1 -1 -1 -1 4.24 1 0 0 0 -1 -1
10 2.2 4.4 2 390 33 1 25 .9 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.41 -1 -1 -1 -1 -1 -1
11 2.2 4.4 2 390 33 1 26 .9 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.19 -1 -1 -1 -1 -1 -1
12 2.2 4.4 2 390 33 1 27 .9 2 0 0 11 0 0 0 0 2 -1 -1 -1 -1 4.24 1 0 0 0 -1 -1
13 2.2 4.4 2 390 33 1 28 1 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.32 0 1 0 0 -1 -1
14 2.2 4.4 2 390 33 1 29 .9 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.4 -1 -1 -1 -1 -1 -1
15 2.2 4.4 2 390 33 1 30 .9 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.355 0 1 0 0 -1 -1
16 2.2 4.4 2 390 33 1 31 .9 2 3 0 11 0 0 0 0 2 -1 -1 -1 -1 4.31 0 0 1 0 -1 -1
17 2.2 4.4 2 390 33 1 32 .9 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.28 0 1 0 0 -1 -1
18 2.2 4.4 2 390 33 1 33 .9 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.25 0 1 0 0 -1 -1
19 2.2 4.4 2 390 33 1 34 .8 2 0 0 11 0 0 0 0 2 -1 -1 -1 -1 4.23 1 0 0 0 -1 -1
20 2.2 4.4 2 390 33 1 35 .8 2 3 0 11 0 0 0 0 2 -1 -1 -1 -1 4.21 0 0 1 0 -1 -1
21 2.2 4.4 2 390 33 1 36 .8 2 1 0 11 0 0 0 0 2 -1 -1 -1 -1 4.19 -1 -1 -1 -1 -1 -1
22 2.2 4.4 2 390 33 1 37 .8 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.17 0 1 0 0 -1 -1
23 2.2 4.4 2 390 33 1 38 .8 2 2 0 11 0 0 0 0 2 -1 -1 -1 -1 4.14 0 1 0 0 -1 -1
2 1.7 3.9 17 350 17 -1 75 .7 2 3 0 8 0 0 0 0 2 -1 -1 -1 -1 4.11 0 0 1 0 1 0
3 1.7 3.9 17 350 17 -1 76 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 3.85 0 0 0 1 1 0
4 1.7 3.9 17 350 17 -1 77 .7 2 6 0 8 0 0 0 0 2 -1 -1 -1 -1 3.88 0 0 0 1 1 0
5 1.7 3.9 17 350 17 -1 78 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 3.78 0 0 0 1 1 0
6 1.7 3.9 17 350 17 -1 79 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 4.05 0 0 0 1 1 0
7 1.7 3.9 17 350 17 -1 80 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 3.51 0 0 0 1 1 0
8 1.7 3.9 17 350 17 -1 81 .7 2 3 0 8 0 0 0 0 2 -1 -1 -1 -1 3.53 0 0 1 0 1 0
9 1.7 3.9 17 350 17 -1 82 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 4 0 0 0 1 1 0
10 1.7 3.9 17 350 17 -1 83 .7 2 3 0 8 0 0 0 0 2 -1 -1 -1 -1 3.77 0 0 1 0 1 0
11 1.7 3.9 17 350 17 -1 84 .7 2 7 0 8 0 0 0 0 2 -1 -1 -1 -1 4.05 0 0 0 1 1 0
12 1.7 3.9 17 350 17 -1 85 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 3.85 0 0 0 1 1 0
13 1.7 3.9 17 350 17 -1 86 .7 2 5 12.5 8 1 1 1 1 2 -1 -1 -1 -1 3.83 0 0 0 1 1 0
14 1.7 3.9 17 350 17 -1 87 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 3.81 0 0 0 1 1 0
15 1.7 3.9 17 350 17 -1 88 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 3.82 0 0 0 1 1 0
16 1.7 3.9 17 350 17 -1 89 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 3.83 0 0 0 1 1 0
17 1.7 3.9 17 350 17 -1 90 .7 2 3 0 8 0 0 0 0 2 -1 -1 -1 -1 3.94 0 0 1 0 1 0
18 1.7 3.9 17 350 17 -1 91 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 4.05 0 0 0 1 1 0
19 1.7 3.9 17 350 17 -1 92 .7 2 5 0 8 0 0 0 0 2 -1 -1 -1 -1 3.93 0 0 0 1 1 0
20 1.7 3.9 17 350 17 -1 93 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 3.81 0 0 0 1 1 0
21 1.7 3.9 17 350 17 -1 94 .7 2 3 0 8 0 0 0 0 2 -1 -1 -1 -1 4.13 0 0 1 0 1 0
22 1.7 3.9 17 350 17 -1 95 .7 2 4 0 8 0 0 0 0 2 -1 -1 -1 -1 4.45 0 0 0 1 1 0
23 1.7 3.9 17 350 17 -1 96 .7 2 7 12.5 8 1 1 1 1 2 -1 -1 -1 -1 4.445 0 0 0 1 1 0
2 1.5 3.6 11 270 36 -1 47 1 1 0 0 4 0 0 0 0 3 0 1 0 1 4.44 1 0 0 0 0 1
3 1.5 3.6 11 270 36 -1 48 1 1 0 0 4 0 0 0 0 3 0 1 0 1 4.48 1 0 0 0 0 1
4 1.5 3.6 11 270 36 -1 49 1 1 2 12.5 4 1 1 1 1 3 0 1 0 1 4.22 0 1 0 0 0 1
5 1.5 3.6 11 270 36 -1 50 1 1 0 0 4 0 0 0 0 3 0 1 0 1 4.17 1 0 0 0 0 1
6 1.5 3.6 11 270 36 -1 51 1 1 1 12.5 4 1 1 1 1 3 0 1 0 1 4.29 -1 -1 -1 -1 0 1
7 1.5 3.6 11 270 36 -1 52 1 1 0 12.5 4 1 1 1 1 3 0 1 0 1 4.4 1 0 0 0 0 1
8 1.5 3.6 11 270 36 -1 53 1 1 0 0 4 0 0 0 0 3 0 1 0 1 4.94 1 0 0 0 0 1
9 1.5 3.6 11 270 36 -1 54 .8 1 0 12.5 4 1 1 1 1 3 0 1 0 1 4.84 1 0 0 0 0 1
10 1.5 3.6 11 270 36 -1 55 .8 1 0 0 4 0 0 0 0 3 0 1 0 1 4.76 1 0 0 0 0 1
11 1.5 3.6 11 270 36 -1 56 .8 1 0 0 4 0 0 0 0 3 0 1 0 1 4.67 1 0 0 0 0 1
12 1.5 3.6 11 270 36 -1 57 .9 1 0 0 4 0 0 0 0 3 0 1 0 1 4.9 1 0 0 0 0 1
13 1.5 3.6 11 270 36 -1 58 .7 1 0 0 4 0 0 0 0 3 0 1 0 1 5.04 1 0 0 0 0 1
14 1.5 3.6 11 270 36 -1 59 .8 1 0 12.5 4 1 1 1 1 3 0 1 0 1 5.18 1 0 0 0 0 1
15 1.5 3.6 11 270 36 -1 60 .8 1 0 12.5 4 1 1 1 1 3 0 1 0 1 5.105 1 0 0 0 0 1
16 1.5 3.6 11 270 36 -1 61 .8 1 0 12.5 4 1 1 1 1 3 0 1 0 1 5.03 1 0 0 0 0 1
17 1.5 3.6 11 270 36 -1 62 .8 1 0 0 4 0 0 0 0 3 0 1 0 1 5.035 1 0 0 0 0 1
18 1.5 3.6 11 270 36 -1 63 .9 1 0 12.5 4 1 1 1 1 3 0 1 0 1 5.04 1 0 0 0 0 1
19 1.5 3.6 11 270 36 -1 64 .9 1 0 0 4 0 0 0 0 3 0 1 0 1 5.02 1 0 0 0 0 1
20 1.5 3.6 11 270 36 -1 65 .9 1 0 12.5 4 1 1 1 1 3 0 1 0 1 5 1 0 0 0 0 1
21 1.5 3.6 11 270 36 -1 66 .9 1 0 0 4 0 0 0 0 3 0 1 0 1 4.835 1 0 0 0 0 1
22 1.5 3.6 11 270 36 -1 67 .9 1 0 0 4 0 0 0 0 3 0 1 0 1 4.67 1 0 0 0 0 1
23 1.5 3.6 11 270 36 -1 68 1 1 1 12.5 4 1 1 1 1 3 0 1 0 1 5.36 -1 -1 -1 -1 0 1
2 1.2 3.4 5 250 15 -1 34 1 1 1 0 3 0 0 0 0 4 0 0 1 1 6.05 -1 -1 -1 -1 0 1
3 1.2 3.4 5 250 15 -1 35 1 1 1 0 3 0 0 0 0 4 0 0 1 1 6.04 -1 -1 -1 -1 0 1
4 1.2 3.4 5 250 15 -1 36 1 1 1 0 3 0 0 0 0 4 0 0 1 1 5.68 -1 -1 -1 -1 0 1
5 1.2 3.4 5 250 15 -1 37 1 1 2 0 3 0 0 0 0 4 0 0 1 1 4.95 0 1 0 0 0 1
6 1.2 3.4 5 250 15 -1 38 1 1 3 0 3 0 0 0 0 4 0 0 1 1 5.21 0 0 1 0 0 1
7 1.2 3.4 5 250 15 -1 39 1 1 2 0 3 0 0 0 0 4 0 0 1 1 5.11 0 1 0 0 0 1
8 1.2 3.4 5 250 15 -1 40 1 1 0 0 3 0 0 0 0 4 0 0 1 1 5.4 1 0 0 0 0 1
9 1.2 3.4 5 250 15 -1 41 1 1 0 0 3 0 0 0 0 4 0 0 1 1 5.76 1 0 0 0 0 1
10 1.2 3.4 5 250 15 -1 42 1 1 0 0 3 0 0 0 0 4 0 0 1 1 5.54 1 0 0 0 0 1
11 1.2 3.4 5 250 15 -1 43 1 1 1 0 3 0 0 0 0 4 0 0 1 1 5.13 -1 -1 -1 -1 0 1
12 1.2 3.4 5 250 15 -1 44 1 1 1 0 3 0 0 0 0 4 0 0 1 1 5.18 -1 -1 -1 -1 0 1
13 1.2 3.4 5 250 15 -1 45 1 1 1 0 3 0 0 0 0 4 0 0 1 1 5.555 -1 -1 -1 -1 0 1
14 1.2 3.4 5 250 15 -1 46 1 1 3 12.5 3 1 1 1 1 4 0 0 1 1 5.93 0 0 1 0 0 1
15 1.2 3.4 5 250 15 -1 47 1 1 1 12.5 3 1 1 1 1 4 0 0 1 1 5.65 -1 -1 -1 -1 0 1
16 1.2 3.4 5 250 15 -1 48 1 1 0 12.5 3 1 1 1 1 4 0 0 1 1 5.37 1 0 0 0 0 1
17 1.2 3.4 5 250 15 -1 49 1 1 2 12.5 3 1 1 1 1 4 0 0 1 1 5.435 0 1 0 0 0 1
18 1.2 3.4 5 250 15 -1 50 1 1 2 12.5 3 1 1 1 1 4 0 0 1 1 5.5 0 1 0 0 0 1
19 1.2 3.4 5 250 15 -1 51 1 1 3 25 3 1 1 2 2 4 0 0 1 1 5.295 0 0 1 0 0 1
20 1.2 3.4 5 250 15 -1 52 1 1 3 12.5 3 1 1 1 1 4 0 0 1 1 5.09 0 0 1 0 0 1
21 1.2 3.4 5 250 15 -1 53 1 1 0 12.5 3 1 1 1 1 4 0 0 1 1 5 1 0 0 0 0 1
22 1.2 3.4 5 250 15 -1 54 1 1 0 12.5 3 1 1 1 1 4 0 0 1 1 4.91 1 0 0 0 0 1
23 1.2 3.4 5 250 15 -1 55 1 1 4 25 3 1 1 2 2 4 0 0 1 1 4.495 0 0 0 1 0 1
2 2.9 4.1 35 320 42 1 143 1 2 5 0 14 0 0 0 0 2 -1 -1 -1 -1 4.08 0 0 0 1 -1 -1
3 2.9 4.1 35 320 42 1 144 1 2 4 0 14 0 0 0 0 2 -1 -1 -1 -1 4.25 0 0 0 1 -1 -1
4 2.9 4.1 35 320 42 1 145 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.04 0 0 1 0 -1 -1
5 2.9 4.1 35 320 42 1 146 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.08 0 1 0 0 -1 -1
6 2.9 4.1 35 320 42 1 147 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.02 0 1 0 0 -1 -1
7 2.9 4.1 35 320 42 1 148 1 2 1 0 14 0 0 0 0 2 -1 -1 -1 -1 3.9 -1 -1 -1 -1 -1 -1
8 2.9 4.1 35 320 42 1 149 1 2 1 0 14 0 0 0 0 2 -1 -1 -1 -1 3.84 -1 -1 -1 -1 -1 -1
9 2.9 4.1 35 320 42 1 150 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.28 0 0 1 0 -1 -1
10 2.9 4.1 35 320 42 1 151 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.22 0 0 1 0 -1 -1
11 2.9 4.1 35 320 42 1 152 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.16 0 0 1 0 -1 -1
12 2.9 4.1 35 320 42 1 153 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.16 0 1 0 0 -1 -1
13 2.9 4.1 35 320 42 1 154 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.25 0 1 0 0 -1 -1
14 2.9 4.1 35 320 42 1 155 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.34 0 1 0 0 -1 -1
15 2.9 4.1 35 320 42 1 156 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.235 0 0 1 0 -1 -1
16 2.9 4.1 35 320 42 1 157 1 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.13 0 0 1 0 -1 -1
17 2.9 4.1 35 320 42 1 158 1 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.245 0 1 0 0 -1 -1
18 2.9 4.1 35 320 42 1 159 .8 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.36 0 1 0 0 -1 -1
19 2.9 4.1 35 320 42 1 160 .9 2 1 0 14 0 0 0 0 2 -1 -1 -1 -1 4.4 -1 -1 -1 -1 -1 -1
20 2.9 4.1 35 320 42 1 161 .9 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.44 0 1 0 0 -1 -1
21 2.9 4.1 35 320 42 1 162 .9 2 4 0 14 0 0 0 0 2 -1 -1 -1 -1 4.525 0 0 0 1 -1 -1
22 2.9 4.1 35 320 42 1 163 .9 2 2 0 14 0 0 0 0 2 -1 -1 -1 -1 4.61 0 1 0 0 -1 -1
23 2.9 4.1 35 320 42 1 164 .9 2 3 0 14 0 0 0 0 2 -1 -1 -1 -1 4.375 0 0 1 0 -1 -1
2 2.2 3.4 20 400 16 -1 113 .9 1 3 0 10 0 0 0 0 2 -1 -1 -1 1 4.14 0 0 1 0 0 1
3 2.2 3.4 20 400 16 -1 114 .9 1 2 0 10 0 0 0 0 2 -1 -1 -1 1 4.22 0 1 0 0 0 1
4 2.2 3.4 20 400 16 -1 115 .9 1 2 12.5 10 1 1 1 1 2 -1 -1 -1 1 3.95 0 1 0 0 0 1
5 2.2 3.4 20 400 16 -1 116 .9 1 2 0 10 0 0 0 0 2 -1 -1 -1 1 3.94 0 1 0 0 0 1
6 2.2 3.4 20 400 16 -1 117 .9 1 2 12.5 10 1 1 1 1 2 -1 -1 -1 1 3.88 0 1 0 0 0 1
7 2.2 3.4 20 400 16 -1 118 .9 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 3.95 1 0 0 0 0 1
8 2.2 3.4 20 400 16 -1 119 .9 1 1 0 10 0 0 0 0 2 -1 -1 -1 1 3.8 -1 -1 -1 -1 0 1
9 2.2 3.4 20 400 16 -1 120 .6 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.28 1 0 0 0 0 1
10 2.2 3.4 20 400 16 -1 121 .6 1 1 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.01 -1 -1 -1 -1 0 1
11 2.2 3.4 20 400 16 -1 122 .6 1 1 0 10 0 0 0 0 2 -1 -1 -1 1 4.14 -1 -1 -1 -1 0 1
12 2.2 3.4 20 400 16 -1 123 .7 1 1 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.07 -1 -1 -1 -1 0 1
13 2.2 3.4 20 400 16 -1 124 .7 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.055 1 0 0 0 0 1
14 2.2 3.4 20 400 16 -1 125 .7 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.04 1 0 0 0 0 1
15 2.2 3.4 20 400 16 -1 126 .8 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.09 1 0 0 0 0 1
16 2.2 3.4 20 400 16 -1 127 .7 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.14 1 0 0 0 0 1
17 2.2 3.4 20 400 16 -1 128 .7 1 2 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.26 0 1 0 0 0 1
18 2.2 3.4 20 400 16 -1 129 .7 1 1 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.38 -1 -1 -1 -1 0 1
19 2.2 3.4 20 400 16 -1 130 .7 1 0 0 10 0 0 0 0 2 -1 -1 -1 1 4.305 1 0 0 0 0 1
20 2.2 3.4 20 400 16 -1 131 .7 1 3 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.23 0 0 1 0 0 1
21 2.2 3.4 20 400 16 -1 132 .7 1 0 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.38 1 0 0 0 0 1
22 2.2 3.4 20 400 16 -1 133 .8 1 1 0 10 0 0 0 0 2 -1 -1 -1 1 4.53 -1 -1 -1 -1 0 1
23 2.2 3.4 20 400 16 -1 134 .8 1 2 12.5 10 1 1 1 1 2 -1 -1 -1 1 4.125 0 1 0 0 0 1
2 1.7 2.9 10 280 24 -1 82 1 2 9 0 7 0 0 0 0 2 -1 -1 -1 -1 3.72 0 0 0 1 0 1
3 1.7 2.9 10 280 24 -1 83 1 2 8 0 7 0 0 0 0 2 -1 -1 -1 -1 3.78 0 0 0 1 0 1
4 1.7 2.9 10 280 24 -1 84 1 2 6 0 7 0 0 0 0 2 -1 -1 -1 -1 3.97 0 0 0 1 0 1
5 1.7 2.9 10 280 24 -1 85 1 2 5 0 7 0 0 0 0 2 -1 -1 -1 -1 3.85 0 0 0 1 0 1
6 1.7 2.9 10 280 24 -1 86 1 2 6 0 7 0 0 0 0 2 -1 -1 -1 -1 3.79 0 0 0 1 0 1
7 1.7 2.9 10 280 24 -1 87 1 2 5 0 7 0 0 0 0 2 -1 -1 -1 -1 3.65 0 0 0 1 0 1
8 1.7 2.9 10 280 24 -1 88 1 2 3 0 7 0 0 0 0 2 -1 -1 -1 -1 3.81 0 0 1 0 0 1
9 1.7 2.9 10 280 24 -1 89 1 2 6 0 7 0 0 0 0 2 -1 -1 -1 -1 4.11 0 0 0 1 0 1
10 1.7 2.9 10 280 24 -1 90 1 2 4 0 7 0 0 0 0 2 -1 -1 -1 -1 4.03 0 0 0 1 0 1
11 1.7 2.9 10 280 24 -1 91 .9 2 8 0 7 0 0 0 0 2 -1 -1 -1 -1 3.9 0 0 0 1 0 1
12 1.7 2.9 10 280 24 -1 92 .9 2 5 0 7 0 0 0 0 2 -1 -1 -1 -1 4.09 0 0 0 1 0 1
13 1.7 2.9 10 280 24 -1 93 .8 2 3 0 7 0 0 0 0 2 -1 -1 -1 -1 3.98 0 0 1 0 0 1
14 1.7 2.9 10 280 24 -1 94 .8 2 5 0 7 0 0 0 0 2 -1 -1 -1 -1 3.87 0 0 0 1 0 1
15 1.7 2.9 10 280 24 -1 95 .8 2 4 0 7 0 0 0 0 2 -1 -1 -1 -1 4.13 0 0 0 1 0 1
16 1.7 2.9 10 280 24 -1 96 .4 2 4 0 7 0 0 0 0 2 -1 -1 -1 -1 4.39 0 0 0 1 0 1
17 1.7 2.9 10 280 24 -1 97 .4 2 2 12.5 7 1 1 1 1 2 -1 -1 -1 -1 4.32 0 1 0 0 0 1
18 1.7 2.9 10 280 24 -1 98 .4 2 5 25 7 1 1 2 2 2 -1 -1 -1 -1 4.25 0 0 0 1 0 1
19 1.7 2.9 10 280 24 -1 99 .4 2 5 12.5 7 1 1 1 1 2 -1 -1 -1 -1 4.08 0 0 0 1 0 1
20 1.7 2.9 10 280 24 -1 100 .4 2 4 12.5 7 1 1 1 1 2 -1 -1 -1 -1 3.91 0 0 0 1 0 1
21 1.7 2.9 10 280 24 -1 101 .4 2 4 25 7 1 1 2 2 2 -1 -1 -1 -1 4.1 0 0 0 1 0 1
22 1.7 2.9 10 280 24 -1 102 .4 2 3 25 7 1 1 2 2 2 -1 -1 -1 -1 4.29 0 0 1 0 0 1
23 1.7 2.9 10 280 24 -1 103 .4 2 5 37.5 7 1 1 2 3 2 -1 -1 -1 -1 4.255 0 0 0 1 0 1
2 1.6 2.6 14 350 28 1 157 .8 1 2 0 6 0 0 0 0 3 0 1 0 1 4.22 0 1 0 0 1 0
3 1.6 2.6 14 350 28 1 158 .8 1 3 0 6 0 0 0 0 3 0 1 0 1 4.46 0 0 1 0 1 0
